
time,ax,ay,az,wx,wy,wz,
0.303246,0.25,0.46,1.43,0.04,-0.06,-0.00,
0.305431,0.25,0.46,1.43,0.04,-0.03,0.00,
0.305738,0.09,-0.28,0.79,0.04,-0.03,0.00,
0.307959,0.09,-0.28,0.79,0.03,0.01,0.01,
0.308364,0.09,-0.28,0.79,0.03,0.01,0.01,
0.310725,0.09,-0.28,0.79,0.02,0.04,0.01,
0.311332,-0.06,-0.60,0.52,0.02,0.04,0.01,
0.314177,-0.06,-0.60,0.52,0.01,0.03,0.00,
0.314631,-0.06,-0.60,0.52,0.01,0.03,0.00,
0.315293,-0.06,-0.60,0.52,0.02,0.01,-0.01,
0.315666,-0.30,-1.00,1.14,0.02,0.01,-0.01,
0.318175,-0.30,-1.00,1.14,0.02,0.01,-0.01,
0.319138,-0.30,-1.00,1.14,0.02,0.01,-0.01,
0.320740,-0.30,-1.00,1.14,0.04,0.03,-0.01,
0.321172,-1.17,-1.11,1.93,0.04,0.03,-0.01,
0.322867,-1.17,-1.11,1.93,0.06,0.02,-0.01,
0.323223,-1.17,-1.11,1.94,0.06,0.02,-0.01,
0.334631,-1.17,-1.11,1.94,0.07,-0.04,-0.02,
0.335313,0.32,-0.58,1.68,0.07,-0.04,-0.02,
0.335662,0.32,-0.58,1.68,0.06,-0.08,-0.02,
0.335985,0.32,-0.58,1.68,0.06,-0.08,-0.02,
0.336403,0.32,-0.58,1.68,0.04,-0.07,-0.00,
0.336787,-0.34,-0.76,0.88,0.04,-0.07,-0.00,
0.337096,-0.34,-0.76,0.88,0.02,-0.03,0.01,
0.338037,-0.35,-0.76,0.88,0.02,-0.03,0.01,
0.338582,-0.35,-0.76,0.88,0.01,0.01,0.01,
0.339144,-0.18,-0.42,1.12,0.01,0.01,0.01,
0.339658,-0.18,-0.42,1.12,0.00,0.00,0.01,
0.340177,-0.18,-0.42,1.12,0.00,0.00,0.01,
0.340788,-0.18,-0.42,1.12,-0.00,-0.02,-0.00,
0.341481,-0.10,-0.46,1.08,-0.00,-0.02,-0.00,
0.343379,-0.10,-0.46,1.08,0.01,-0.02,-0.01,
0.344201,-0.10,-0.46,1.08,0.01,-0.02,-0.01,
0.345592,-0.10,-0.46,1.08,0.04,-0.01,-0.01,
0.346112,-0.77,-0.28,2.42,0.04,-0.01,-0.01,
0.347773,-0.77,-0.28,2.42,0.06,-0.01,-0.01,
0.348410,-0.77,-0.28,2.42,0.06,-0.01,-0.01,
0.350384,-0.77,-0.28,2.42,0.08,-0.03,-0.01,
0.350968,0.21,-0.23,1.59,0.08,-0.03,-0.01,
0.354179,0.21,-0.23,1.59,0.06,-0.05,-0.01,
0.355278,0.21,-0.23,1.59,0.06,-0.05,-0.01,
0.355719,0.21,-0.23,1.59,0.03,-0.07,0.00,
0.356017,0.63,-0.46,-0.06,0.03,-0.07,0.00,
0.359371,0.63,-0.46,-0.06,0.01,-0.08,0.01,
0.360001,0.63,-0.46,-0.06,0.01,-0.08,0.01,
0.360352,0.63,-0.46,-0.06,-0.01,-0.09,0.01,
0.360751,0.74,-0.16,0.39,-0.01,-0.09,0.01,
0.362838,0.74,-0.16,0.39,-0.02,-0.07,0.01,
0.363326,0.74,-0.16,0.39,-0.02,-0.07,0.01,
0.365267,0.74,-0.16,0.39,-0.02,-0.04,0.01,
0.365643,0.04,-0.83,1.11,-0.02,-0.04,0.01,
0.367835,0.04,-0.83,1.11,-0.00,-0.01,0.00,
0.368193,0.04,-0.83,1.11,-0.00,-0.01,0.00,
0.373658,0.04,-0.83,1.11,0.04,-0.00,-0.01,
0.373994,-0.13,-0.75,2.67,0.04,-0.00,-0.01,
0.374349,-0.13,-0.75,2.67,0.07,0.01,-0.01,
0.374859,-0.13,-0.75,2.67,0.07,0.01,-0.01,
0.376283,-0.13,-0.75,2.67,0.08,0.00,-0.01,
0.376880,0.17,-1.02,0.90,0.08,0.00,-0.01,
0.378100,0.17,-1.02,0.90,0.08,-0.03,-0.01,
0.378612,0.17,-1.02,0.90,0.08,-0.03,-0.01,
0.380256,0.17,-1.02,0.90,0.07,-0.05,-0.01,
0.380702,0.51,-0.53,0.17,0.07,-0.05,-0.01,
0.382766,0.51,-0.53,0.17,0.05,-0.02,0.00,
0.383037,0.51,-0.53,0.17,0.05,-0.02,0.00,
0.385397,0.51,-0.53,0.17,0.05,0.04,0.01,
0.385715,-0.60,-0.52,1.01,0.05,0.04,0.01,
0.387824,-0.60,-0.52,1.01,0.05,0.07,0.01,
0.388158,-0.60,-0.52,1.01,0.05,0.07,0.01,
0.390628,-0.60,-0.52,1.01,0.05,0.04,-0.00,
0.391005,0.60,-0.94,1.27,0.05,0.04,-0.00,
0.393184,0.60,-0.94,1.27,0.04,-0.02,-0.01,
0.393792,0.60,-0.94,1.27,0.04,-0.02,-0.01,
0.395750,0.60,-0.94,1.27,0.03,-0.07,-0.02,
0.396877,0.29,-0.52,0.34,0.03,-0.07,-0.02,
0.398197,0.29,-0.52,0.34,0.03,-0.09,-0.01,
0.398632,0.29,-0.52,0.34,0.03,-0.09,-0.01,
0.400682,0.29,-0.52,0.34,0.04,-0.07,-0.01,
0.401043,-0.13,-0.13,1.15,0.04,-0.07,-0.01,
0.402603,-0.13,-0.13,1.15,0.04,-0.03,0.00,
0.402907,-0.14,-0.13,1.15,0.04,-0.03,0.00,
0.405195,-0.14,-0.13,1.15,0.03,-0.00,0.01,
0.405552,0.03,-1.14,0.98,0.03,-0.00,0.01,
0.408159,0.03,-1.14,0.98,0.03,0.01,0.01,
0.409044,0.03,-1.14,0.98,0.03,0.01,0.01,
0.410867,0.03,-1.14,0.98,0.02,-0.01,0.01,
0.411658,0.31,-1.14,0.65,0.02,-0.01,0.01,
0.413297,0.31,-1.14,0.65,0.03,-0.04,-0.00,
0.414294,0.31,-1.14,0.65,0.03,-0.04,-0.00,
0.415452,0.31,-1.14,0.65,0.05,-0.05,-0.01,
0.415817,-0.00,-0.69,2.07,0.05,-0.05,-0.01,
0.417843,-0.00,-0.69,2.07,0.07,-0.04,-0.01,
0.418428,-0.00,-0.69,2.07,0.07,-0.04,-0.01,
0.420681,-0.00,-0.69,2.07,0.09,-0.03,-0.00,
0.422040,-0.04,0.06,0.86,0.09,-0.03,-0.00,
0.423238,-0.04,0.06,0.86,0.09,-0.02,0.01,
0.423577,-0.04,0.06,0.86,0.09,-0.02,0.01,
0.425983,-0.04,0.06,0.86,0.07,-0.02,0.01,
0.426525,0.34,-0.06,0.27,0.07,-0.02,0.01,
0.427621,0.34,-0.06,0.27,0.06,0.01,0.02,
0.428163,0.34,-0.06,0.27,0.06,0.01,0.02,
0.430304,0.34,-0.06,0.27,0.06,0.06,0.02,
0.430725,-0.37,-0.26,1.93,0.06,0.06,0.02,
0.433120,-0.37,-0.26,1.93,0.07,0.07,0.01,
0.433487,-0.37,-0.26,1.93,0.07,0.07,0.01,
0.435455,-0.37,-0.26,1.93,0.07,0.02,-0.01,
0.435835,0.84,-0.52,1.35,0.07,0.02,-0.01,
0.438129,0.84,-0.52,1.35,0.05,-0.07,-0.01,
0.438456,0.84,-0.52,1.35,0.05,-0.07,-0.01,
0.440637,0.84,-0.52,1.35,0.03,-0.11,-0.00,
0.441006,0.11,-0.93,0.44,0.03,-0.11,-0.00,
0.458939,0.11,-0.93,0.44,0.02,-0.11,0.02,
0.459534,0.10,-0.93,0.44,0.02,-0.11,0.02,
0.459877,0.10,-0.93,0.44,0.02,-0.10,0.03,
0.460176,0.29,-0.05,1.49,0.02,-0.10,0.03,
0.460476,0.29,-0.05,1.49,0.04,-0.11,0.03,
0.460844,0.29,-0.05,1.49,0.04,-0.11,0.03,
0.461205,0.29,-0.05,1.49,0.04,-0.12,0.03,
0.461674,0.60,-0.63,0.82,0.04,-0.12,0.03,
0.462013,0.60,-0.63,0.82,0.04,-0.09,0.03,
0.462323,0.60,-0.63,0.82,0.04,-0.09,0.03,
0.462646,0.60,-0.63,0.82,0.04,-0.03,0.02,
0.462959,-0.04,-0.45,0.98,0.04,-0.03,0.02,
0.463281,-0.04,-0.45,0.98,0.06,-0.00,0.01,
0.464125,-0.04,-0.45,0.99,0.06,-0.00,0.01,
0.465029,-0.04,-0.45,0.99,0.07,-0.01,0.00,
0.465375,0.59,-0.74,0.95,0.07,-0.01,0.00,
0.465715,0.59,-0.74,0.95,0.07,-0.03,-0.00,
0.466028,0.59,-0.74,0.95,0.07,-0.03,-0.00,
0.466327,0.59,-0.74,0.95,0.06,-0.05,-0.00,
0.466632,0.31,-1.16,0.36,0.06,-0.05,-0.00,
0.467680,0.31,-1.16,0.36,0.06,-0.05,0.01,
0.468053,0.31,-1.16,0.36,0.06,-0.05,0.01,
0.470457,0.31,-1.16,0.36,0.06,-0.06,0.01,
0.470921,0.61,-0.28,0.98,0.06,-0.06,0.01,
0.473131,0.61,-0.28,0.98,0.07,-0.07,0.02,
0.473519,0.61,-0.28,0.98,0.07,-0.07,0.02,
0.480365,0.61,-0.28,0.98,0.07,-0.07,0.02,
0.480854,0.44,-0.31,0.68,0.07,-0.07,0.02,
0.481061,0.44,-0.31,0.68,0.06,-0.03,0.02,
0.481239,0.44,-0.31,0.68,0.06,-0.03,0.02,
0.481526,0.44,-0.31,0.68,0.06,0.02,0.02,
0.481829,-0.37,-0.42,0.49,0.06,0.02,0.02,
0.482836,-0.37,-0.42,0.49,0.06,0.04,0.02,
0.483285,-0.37,-0.42,0.49,0.06,0.04,0.02,
0.485468,-0.37,-0.42,0.49,0.07,0.04,0.00,
0.485986,-0.16,-0.68,1.15,0.07,0.04,0.00,
0.487882,-0.16,-0.68,1.15,0.07,0.00,-0.01,
0.488667,-0.16,-0.68,1.15,0.07,0.00,-0.01,
0.490495,-0.16,-0.68,1.15,0.07,-0.05,-0.02,
0.490838,0.57,-0.77,1.15,0.07,-0.05,-0.02,
0.493227,0.57,-0.77,1.15,0.06,-0.10,-0.02,
0.493805,0.57,-0.77,1.15,0.06,-0.10,-0.02,
0.502761,0.57,-0.77,1.15,0.04,-0.13,-0.00,
0.503317,0.46,-1.09,0.75,0.04,-0.13,-0.00,
0.503827,0.46,-1.09,0.75,0.02,-0.12,0.01,
0.504381,0.45,-1.09,0.75,0.02,-0.12,0.01,
0.504988,0.45,-1.09,0.75,0.01,-0.11,0.02,
0.505503,0.62,-0.33,0.58,0.01,-0.11,0.02,
0.506007,0.62,-0.33,0.58,0.01,-0.10,0.03,
0.506540,0.61,-0.33,0.58,0.01,-0.10,0.03,
0.507014,0.61,-0.33,0.58,0.01,-0.08,0.02,
0.507565,0.60,-0.42,0.65,0.01,-0.08,0.02,
0.508257,0.60,-0.42,0.65,0.02,-0.07,0.01,
0.508726,0.60,-0.42,0.65,0.02,-0.07,0.01,
0.510592,0.60,-0.42,0.65,0.04,-0.05,-0.01,
0.511440,0.68,-0.34,1.66,0.04,-0.05,-0.01,
0.513149,0.68,-0.34,1.66,0.06,-0.04,-0.02,
0.514061,0.68,-0.34,1.66,0.06,-0.04,-0.02,
0.516561,0.68,-0.34,1.66,0.07,-0.03,-0.02,
0.517010,0.64,-0.55,1.02,0.07,-0.03,-0.02,
